SA3_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
80101,0,0,0,0,7,23,55,89,6,14,22,0,0,5,0,226,0,0,0,0,9,29,120,88,32,35,27,18,10,4,6,375,0,0,21,55,41,43,63,35,12,6,3,9,3,6,0,293,4,12,6,28,147,267,744,774,294,325,260,245,70,5,63,3248,0,33,160,62,20,30,8,3,0,0,0,0,0,0,7,319,3,5,6,9,3,10,25,17,10,3,12,9,0,0,0,117,0,3,9,12,45,62,84,21,5,5,4,3,5,0,0,264,119,119,63,25,50,44,81,28,8,5,0,13,0,0,9,570,12,59,137,54,12,4,3,6,0,0,4,0,0,0,12,302,0,13,14,35,82,78,71,49,16,9,3,13,16,6,7,407,6,7,33,37,88,180,884,673,202,282,305,270,135,6,47,3155,0,8,7,23,31,38,76,48,14,35,27,34,5,0,0,350,0,0,0,0,13,22,50,96
80103,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104,0,0,0,0,15,50,73,96,4,4,15,14,8,0,0,281,0,0,4,3,18,130,401,144,25,35,20,22,21,0,10,839,0,0,10,9,13,29,54,32,0,8,5,9,8,0,4,175,0,0,5,20,143,349,1430,951,222,269,240,227,75,11,88,4036,0,23,136,72,53,50,13,14,3,0,0,0,0,0,5,371,0,0,8,4,21,16,61,57,5,16,17,0,4,0,3,209,0,0,5,6,60,77,112,41,3,10,5,5,0,0,7,326,26,35,25,10,26,26,43,13,6,6,4,0,0,0,0,224,0,16,36,18,3,4,3,17,0,0,0,6,4,0,3,103,0,0,8,52,89,103,83,63,12,12,10,10,12,0,10,460,0,0,4,29,112,402,2483,1548,360,428,453,419,125,33,99,6490,0,0,0,10,25,49,80,53,5,6,4,16,3,0,0,260,0,0,0,3,28,26,43,93
80105,0,0,0,0,5,9,16,25,0,0,0,4,3,0,0,68,0,0,0,0,0,25,33,38,0,11,13,3,23,0,0,163,0,4,18,30,26,52,42,38,6,15,10,18,5,4,3,276,0,6,0,10,62,163,391,600,270,296,296,238,99,7,33,2481,0,20,54,26,9,13,3,8,0,0,0,0,0,0,5,140,0,0,7,0,0,4,9,0,0,4,0,0,0,5,0,36,0,3,3,8,17,16,11,5,7,0,8,0,0,6,0,90,32,54,31,23,20,39,61,34,15,9,9,14,4,3,9,357,0,27,64,16,4,0,5,11,0,0,0,0,0,0,4,135,0,0,12,18,49,70,78,50,14,25,16,16,12,3,6,365,0,3,15,24,45,109,301,222,74,104,122,149,67,12,23,1270,3,0,0,3,18,22,50,52,14,28,32,19,37,0,4,288,0,0,0,3,15,13,25,40
80106,0,0,0,0,0,0,5,11,0,0,0,0,0,7,0,25,0,0,0,0,4,18,29,15,6,4,6,0,0,0,0,79,0,0,12,19,27,20,25,19,3,6,0,14,9,3,0,163,0,6,8,3,25,73,170,95,31,31,15,25,6,0,4,501,0,4,27,15,6,9,6,6,0,0,0,0,0,0,0,65,0,4,6,0,0,0,0,0,0,0,0,3,0,0,3,26,0,0,0,7,15,10,10,3,3,0,0,3,0,0,0,52,34,39,19,14,16,15,39,13,4,4,0,5,4,0,0,201,5,30,24,3,5,4,0,0,0,0,0,0,0,0,0,87,0,4,4,11,42,24,23,24,3,9,3,0,3,0,3,156,3,0,14,33,35,79,192,142,25,32,46,29,16,4,8,665,4,4,3,9,4,12,17,15,8,6,11,6,9,0,0,98,0,0,0,3,9,14,20,20
80107,0,0,0,4,0,13,18,17,7,0,0,0,0,0,0,64,0,0,0,4,16,44,52,27,5,3,5,0,0,0,0,165,0,0,7,33,27,37,45,16,0,3,8,6,5,0,4,193,0,13,17,25,88,87,157,88,13,16,18,15,4,3,14,545,0,22,138,49,17,12,0,0,0,0,0,0,0,0,5,252,0,4,13,13,3,11,12,19,0,0,3,3,0,0,0,79,0,3,8,5,44,30,37,19,0,0,0,4,0,0,0,144,79,110,67,41,39,29,31,15,0,3,3,0,0,0,10,432,4,39,52,32,0,7,10,3,0,0,0,0,0,0,3,151,0,0,14,33,63,32,27,3,0,4,0,0,3,0,8,195,3,0,38,46,55,137,722,732,138,106,132,114,27,11,34,2303,0,4,10,12,30,24,42,11,0,6,0,0,0,0,4,143,0,0,0,4,25,14,27,32
80108,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,10,0,0,0,3,3,6,11,4,3,4,5,0,0,0,0,39,0,4,10,17,10,14,24,11,0,0,0,0,0,0,0,91,0,0,5,5,45,39,78,38,10,10,4,14,0,4,9,245,0,9,59,9,3,8,4,0,0,0,0,0,0,0,7,93,3,0,4,4,3,4,4,0,0,0,0,0,0,0,0,18,0,0,0,0,8,6,6,10,0,0,0,0,0,4,11,49,29,41,18,14,14,20,9,6,3,4,4,5,0,0,10,173,0,16,25,8,0,0,0,4,0,0,0,0,0,0,4,58,0,0,6,5,16,10,11,16,0,0,0,0,4,0,3,69,6,0,6,13,22,45,122,134,23,27,32,20,15,8,8,491,0,6,4,3,6,9,13,4,0,0,0,4,3,12,0,64,0,0,4,4,10,11,18,12
80109,0,0,0,0,4,15,11,6,7,3,0,0,0,0,0,41,0,0,0,0,11,16,44,39,14,13,0,3,0,0,0,146,0,0,10,25,18,11,25,27,0,5,18,0,8,0,0,158,4,6,4,18,70,110,198,135,29,39,21,22,17,6,13,676,3,22,45,3,7,4,0,0,0,0,0,0,0,0,7,87,4,3,3,3,0,3,6,9,0,5,4,0,0,0,0,44,5,0,0,14,34,11,17,3,3,0,0,0,0,0,0,95,49,69,24,20,19,16,14,10,0,0,0,0,0,0,3,222,3,35,60,18,7,3,0,13,0,0,0,0,0,0,5,144,3,3,17,26,32,25,23,22,0,4,0,0,5,0,3,164,4,11,16,33,71,101,393,414,110,130,148,121,49,16,27,1641,0,0,5,6,9,9,19,19,0,0,7,6,3,0,0,92,0,0,0,0,11,8,5,23
80110,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,19,0,0,0,0,0,22,59,13,9,6,4,0,5,0,0,128,0,0,0,4,5,5,3,8,0,5,7,0,8,0,0,31,0,0,0,0,15,36,128,112,31,20,13,24,3,0,5,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,20,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,22,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,19,15,19,24,4,4,5,0,0,0,6,82,0,0,0,6,16,60,452,354,71,48,58,56,24,5,14,1165,0,0,0,0,3,6,5,4,3,0,0,3,0,0,0,29,0,0,0,0,7,8,19,14
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
