SA3_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
80101,0,0,0,0,4,0,23,5,3,30,0,0,9,21,8,5,0,0,0,43,0,0,17,29,15,13,3,4,4,88,0,6,150,482,6,4,4,0,0,651,0,5,8,15,12,12,40,38,8,133,3,39,51,168,92,67,71,25,6,528,0,0,0,11,3,12,18,10,0,50,4,32,22,164,20,10,5,0,0,256,0,0,10,17,37,26,12,5,0,99,5,39,65,364,123,108,49,18,3,773,0,5,0,33,13,17,36,15,14,131,0,0,7,14,4,8,0,0,0,48,0,0,4,32,20,39,43,27,17,190,0,6,8,37,24,15,13,4,0,106,0,7,32,87,42,29,24,9,3,236,0,18,24,142,40,43,30,15,9,313,0,0,7,58,12,3,0,0,0,83,0,19,38,120,52,20,17,3,0,270,0,0,0,11,4,5,0,3,0,27,3,30,63,129,55,33,38,22,4,374
80103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
80104,0,0,0,0,0,0,3,3,0,15,0,4,6,39,13,4,10,3,0,69,0,0,3,56,30,14,5,9,3,129,3,7,135,565,17,15,10,0,0,757,0,3,0,16,0,7,16,12,0,58,9,43,50,164,80,47,21,8,0,435,0,0,6,19,14,21,14,6,0,75,5,57,66,374,47,24,7,3,0,581,0,0,4,14,16,5,0,0,0,51,3,31,63,319,119,93,36,11,0,675,0,4,0,23,22,13,8,0,0,74,0,0,3,7,0,4,0,0,0,21,0,0,14,16,22,9,12,20,3,105,3,12,15,44,27,16,8,5,0,127,4,31,50,104,99,28,13,6,0,326,0,30,52,230,94,87,51,17,5,564,0,3,5,70,8,3,5,0,0,103,5,17,17,126,33,23,13,5,0,234,0,0,5,10,6,6,5,0,0,29,17,39,27,85,33,18,9,3,0,228
80105,0,0,0,3,0,0,3,0,3,13,0,0,3,9,3,0,0,0,0,17,0,0,0,10,19,6,3,6,0,40,0,5,29,123,4,0,0,0,0,158,0,4,8,16,13,5,16,15,9,84,5,14,71,140,59,53,31,21,6,399,0,0,0,9,6,4,5,0,0,18,3,4,10,51,3,3,0,0,0,76,0,0,3,20,21,13,5,0,0,71,0,5,29,111,23,17,9,14,0,215,0,0,5,18,10,7,7,7,8,70,0,0,4,5,0,4,0,0,0,16,0,0,9,25,19,15,15,18,3,106,0,4,42,40,14,7,3,0,0,127,4,3,41,63,24,15,4,0,4,160,0,0,18,80,16,12,9,0,0,137,0,4,10,49,10,6,0,0,0,73,0,3,21,76,12,7,8,3,0,131,0,0,0,8,3,0,0,0,0,11,7,30,81,145,59,38,30,16,0,405
80106,0,0,0,0,0,0,5,0,0,11,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,6,0,0,17,72,0,0,0,0,0,97,0,4,3,6,3,6,11,9,11,51,0,3,19,55,25,44,30,22,5,203,0,0,0,6,7,3,9,0,0,21,0,4,6,27,3,4,0,0,0,37,0,0,0,7,7,6,4,0,0,27,0,7,15,54,23,12,12,4,0,129,0,0,0,7,6,11,16,9,8,59,0,0,0,0,3,0,0,0,0,11,0,0,0,9,10,15,18,9,8,71,0,12,4,21,13,4,5,0,3,67,0,4,5,41,14,18,13,4,0,102,0,4,7,35,28,8,12,9,0,107,0,3,0,34,11,4,6,0,0,47,0,3,14,31,11,10,3,0,0,67,0,0,0,3,9,0,4,0,0,23,13,31,24,73,23,22,24,4,0,218
80107,0,0,0,3,0,7,8,12,0,29,0,3,4,11,9,8,4,0,0,34,0,0,4,10,7,5,9,3,0,34,0,5,32,203,5,4,3,0,0,247,0,0,0,7,5,14,43,26,12,114,7,26,34,119,93,102,57,15,3,453,0,0,0,8,3,11,4,4,0,39,0,8,6,59,8,3,3,0,0,99,0,0,3,3,24,14,7,0,0,56,4,39,45,208,113,111,72,10,4,609,0,0,0,34,13,26,39,11,9,129,0,0,8,5,9,13,3,0,0,40,0,0,4,19,21,69,45,46,17,223,0,6,9,27,17,19,12,3,0,93,0,8,16,50,46,23,27,8,7,182,0,16,12,83,36,52,46,20,0,266,0,0,0,16,0,0,0,0,0,22,0,6,13,92,51,41,17,6,0,229,0,0,0,0,0,0,0,0,0,4,3,27,22,87,36,22,18,10,0,221
80108,0,0,0,0,0,4,5,4,0,13,0,0,0,0,0,4,0,0,0,10,0,0,0,3,8,0,4,0,0,10,0,0,14,49,0,0,0,0,0,70,0,0,0,3,3,3,8,13,0,35,0,11,8,33,29,35,24,12,0,143,0,0,0,4,5,0,0,0,0,7,0,8,3,14,6,0,0,0,0,32,0,0,0,3,11,6,4,0,0,31,0,5,10,43,21,14,18,3,0,120,0,3,0,11,5,7,7,4,6,37,0,0,0,3,6,0,0,0,0,11,0,0,4,4,10,14,19,25,5,76,0,5,0,10,4,3,0,0,0,17,0,5,0,22,22,7,3,4,0,71,0,0,0,20,0,13,4,3,0,40,0,0,0,8,5,3,0,0,0,12,0,0,3,28,8,10,8,3,0,52,0,0,0,0,0,0,4,0,0,10,0,8,10,28,17,9,22,3,0,92
80109,0,0,0,0,0,4,4,5,4,13,0,0,0,4,0,3,0,0,0,12,0,0,0,11,0,8,0,0,0,16,0,3,113,357,3,3,7,0,0,486,0,3,4,4,3,6,3,15,14,54,4,12,11,47,55,51,18,25,6,230,0,0,0,6,0,6,8,3,0,26,0,13,7,45,16,0,0,0,0,84,0,0,0,9,13,15,5,0,0,43,0,19,22,236,47,30,26,3,0,386,0,0,0,12,4,13,14,14,5,59,0,0,0,0,0,0,0,0,0,3,0,4,3,17,14,9,17,19,16,96,0,4,5,19,11,12,6,3,0,70,0,0,14,38,17,17,13,0,4,110,0,3,3,59,36,36,29,7,8,181,0,0,0,14,4,7,3,0,0,24,0,6,3,36,22,8,9,3,0,91,0,0,0,7,4,4,0,0,0,11,5,24,14,52,30,14,23,11,0,176
80110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,0,9,0,11,21,122,5,9,0,0,0,159,0,0,0,5,0,0,0,0,0,6,0,0,3,20,5,6,4,0,0,34,0,0,0,5,0,0,0,0,0,5,0,9,0,46,9,6,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,8,14,98,20,6,3,0,0,154,0,0,0,6,0,3,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,14,0,0,7,12,0,0,0,0,0,24,0,0,6,7,3,0,0,0,0,21,0,9,8,43,13,8,3,0,0,85,0,0,0,13,4,0,0,5,0,15,0,0,4,23,7,0,0,0,0,39,0,0,0,3,0,0,0,0,0,0,5,11,9,23,4,0,0,0,0,52
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
