SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL80001,0,0,0,5,0,0,5,16,9,34
SAL80002,0,0,0,6,3,0,12,17,13,45
SAL80003,0,0,0,0,0,0,0,0,0,0
SAL80004,0,0,0,3,3,0,7,3,0,12
SAL80005,0,0,0,0,0,0,0,0,0,0
SAL80006,0,0,0,4,0,0,4,5,7,16
SAL80007,0,0,0,0,0,0,0,0,0,0
SAL80008,0,0,0,7,0,0,9,31,18,51
SAL80009,0,0,0,3,0,0,6,14,3,22
SAL80010,0,0,4,4,5,0,10,109,43,157
SAL80011,0,0,0,0,0,0,0,11,8,11
SAL80012,0,0,0,12,4,0,17,41,8,68
SAL80013,0,0,0,0,0,0,0,0,0,0
SAL80014,3,0,3,14,0,0,17,27,5,51
SAL80015,0,0,0,3,4,0,12,26,10,49
SAL80016,0,0,0,0,0,0,0,0,0,0
SAL80017,0,0,0,5,31,0,34,2311,497,2844
SAL80018,228,18,250,847,272,56,1173,3131,181,4481
SAL80019,34,0,34,1324,259,38,1624,2962,159,4749
SAL80020,54,0,62,486,120,29,638,1390,70,2095
SAL80021,24,0,29,964,316,35,1313,2580,126,4019
SAL80022,9,0,12,144,94,3,248,1355,210,1806
SAL80023,0,0,0,3,0,0,3,0,0,4
SAL80024,173,9,184,841,251,20,1120,6234,409,7764
SAL80025,6,0,13,1682,253,64,1998,2965,245,5200
SAL80026,41,0,43,646,219,34,898,2106,109,3112
SAL80027,42,0,46,425,203,15,643,5076,330,6051
SAL80028,127,8,137,799,320,33,1148,5325,262,6732
SAL80029,82,16,101,1001,365,62,1434,3010,163,4605
SAL80030,99,16,115,733,288,19,1046,4217,599,5863
SAL80031,0,0,0,21,9,0,28,50,28,103
SAL80032,0,0,3,0,0,0,0,0,3,3
SAL80033,13,0,13,1618,255,30,1902,2736,165,4797
SAL80034,60,3,62,482,234,22,738,1553,63,2348
SAL80035,28,3,30,568,162,22,753,1539,115,2407
SAL80036,53,3,54,425,121,8,558,1618,78,2250
SAL80037,27,0,24,919,397,52,1370,2664,144,4174
SAL80038,14,3,23,187,107,0,298,3847,544,4686
SAL80039,29,0,41,903,333,30,1269,2697,119,4090
SAL80040,65,4,73,506,154,28,689,1675,86,2450
SAL80041,11,0,11,1121,159,37,1311,2220,144,3680
SAL80042,37,0,38,1142,193,29,1360,2141,106,3607
SAL80043,192,8,196,1013,290,42,1350,2997,136,4485
SAL80044,127,13,141,527,187,21,737,1726,130,2596
SAL80045,0,0,0,689,90,12,790,1180,62,2035
SAL80046,35,0,35,436,106,20,564,2201,103,2863
SAL80047,70,0,74,785,184,37,1001,2383,150,3530
SAL80048,50,0,59,615,180,26,825,1810,93,2729
SAL80049,38,0,40,1513,390,54,1966,3424,175,5560
SAL80050,46,0,49,1020,360,45,1431,2855,110,4394
SAL80051,26,0,28,534,242,25,800,1589,40,2429
SAL80052,162,31,191,656,260,23,937,2013,150,3105
SAL80053,73,3,82,630,158,29,809,1623,98,2532
SAL80054,61,4,69,768,361,33,1160,2650,145,3960
SAL80055,24,5,30,670,273,37,980,1824,96,2900
SAL80056,11,0,11,1096,196,28,1326,1813,110,3252
SAL80057,33,0,36,234,138,4,376,1188,59,1625
SAL80058,9,0,14,1463,251,41,1750,3933,282,5971
SAL80059,16,0,16,374,180,22,574,1087,42,1707
SAL80060,0,0,0,12,0,0,16,34,8,53
SAL80061,130,10,140,709,187,17,910,1862,164,2938
SAL80062,24,0,27,470,203,24,697,1404,68,2164
SAL80063,26,0,27,636,235,36,910,1675,85,2671
SAL80064,106,27,138,1352,512,60,1926,4219,217,6361
SAL80065,27,3,32,601,246,18,865,1543,66,2482
SAL80066,85,19,105,510,268,14,797,2680,195,3669
SAL80067,143,9,157,773,303,13,1084,3381,168,4639
SAL80068,33,0,33,1445,299,31,1783,5113,323,7213
SAL80069,87,4,87,658,143,36,836,1626,94,2556
SAL80070,6,0,6,49,22,0,74,166,10,251
SAL80071,17,0,19,1762,284,44,2093,4001,258,6354
SAL80072,60,5,66,483,197,18,709,1718,90,2520
SAL80073,46,0,46,636,171,31,843,1738,77,2656
SAL80074,56,5,63,489,138,41,671,1527,94,2287
SAL80075,123,4,123,992,279,45,1312,3068,167,4550
SAL80076,190,11,207,556,153,30,742,1781,88,2617
SAL80077,0,0,0,3,0,0,3,7,376,390
SAL80078,63,5,67,329,171,15,513,1452,67,2031
SAL80079,70,7,83,787,313,18,1120,2186,111,3429
SAL80080,0,0,0,195,16,3,214,263,18,492
SAL80081,119,3,130,1261,563,66,1894,4147,250,6295
SAL80082,169,21,191,2611,1220,125,3955,8286,488,12729
SAL80083,37,0,42,644,295,18,962,4474,581,6016
SAL80084,34,0,32,710,268,35,1015,1843,131,2981
SAL80085,4,0,4,356,54,9,419,1804,170,2386
SAL80086,142,64,212,687,281,24,986,3746,317,5053
SAL80087,98,5,109,557,138,25,718,1881,122,2722
SAL80088,7,0,14,297,124,13,429,659,14,1106
SAL80089,31,0,32,1559,378,64,2000,3184,152,5335
SAL80090,0,0,0,0,0,0,0,0,0,0
SAL80091,54,5,60,458,180,14,656,1780,161,2595
SAL80092,67,0,75,553,206,19,779,1935,118,2831
SAL80093,43,0,45,427,209,20,662,1545,84,2284
SAL80094,30,0,35,642,246,29,912,1629,94,2635
SAL80095,0,0,0,0,0,0,0,6,0,6
SAL80096,0,0,0,0,0,0,0,0,0,0
SAL80097,195,88,281,876,451,47,1375,3041,241,4651
SAL80098,0,0,0,1394,171,30,1593,1947,170,3713
SAL80099,137,95,230,1102,258,44,1410,3503,394,5312
SAL80100,84,8,92,2207,503,78,2785,5493,303,8585
SAL80101,54,0,61,1080,468,41,1587,3834,118,5535
SAL80102,82,4,89,906,291,45,1245,3598,151,5002
SAL80103,14,4,20,113,79,5,197,579,33,803
SAL80104,3,0,3,47,12,0,64,186,77,323
SAL80105,14,0,15,287,163,14,467,844,54,1371
SAL80106,183,62,246,462,126,27,617,1739,217,2572
SAL80107,48,0,52,1001,289,36,1324,2965,158,4447
SAL80108,0,0,0,0,0,0,0,0,0,0
SAL80109,70,0,68,440,167,21,632,1521,77,2226
SAL80110,36,0,42,665,158,10,835,3536,239,4613
SAL80111,5,0,5,17,5,0,23,78,12,115
SAL80112,122,3,131,573,176,19,764,1712,80,2562
SAL80113,19,0,18,148,76,5,223,1098,98,1425
SAL80114,26,0,24,527,202,26,759,1591,97,2445
SAL80115,56,5,66,613,196,28,837,1696,126,2664
SAL80116,0,0,0,0,0,0,0,0,0,0
SAL80117,27,4,31,597,172,35,798,1517,110,2427
SAL80118,26,0,26,466,140,22,625,1369,77,2068
SAL80119,124,8,134,353,166,18,538,1203,72,1810
SAL80120,0,0,0,160,18,5,186,335,20,541
SAL80121,7,0,7,29,24,0,54,351,207,608
SAL80122,0,0,3,556,81,19,656,826,100,1582
SAL80123,0,0,0,13,9,0,20,43,0,63
SAL80124,25,0,22,694,260,36,986,2012,77,3070
SAL80125,3,0,3,652,83,7,743,884,69,1687
SAL80126,38,3,43,466,140,16,626,1195,85,1899
SAL80127,40,0,43,391,176,15,590,3393,143,4124
SAL80128,0,0,0,77,16,0,89,119,15,229
SAL80129,93,0,92,1413,626,47,2091,4012,218,6324
SAL80130,45,7,50,523,147,36,708,1392,101,2205
SAL80131,68,6,74,1306,300,71,1680,3509,197,5388
SAL80132,72,0,77,511,205,15,725,1489,60,2276
SAL80133,128,47,175,711,204,28,943,2107,191,3239
SAL80134,0,0,0,0,0,0,0,4,0,4
SAL80135,9,0,9,752,145,13,912,1996,136,3043
SAL80136,84,6,84,454,248,29,730,1803,107,2642
SAL89494,0,0,4,63,32,0,97,335,130,560
SAL89797,0,0,0,0,0,0,0,0,0,0
