SAL_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SAL80120,90,3,9,5,0,0,0,106
SAL80121,10,0,0,0,0,0,0,19
SAL80122,337,17,4,4,0,0,5,366
SAL80123,9,0,0,0,0,0,0,3
SAL80124,469,39,18,3,0,0,6,536
SAL80125,402,19,6,4,0,0,0,430
SAL80126,310,12,8,0,0,0,0,339
SAL80127,240,7,8,0,0,0,0,249
SAL80128,50,0,0,0,0,0,0,51
SAL80129,864,71,53,4,0,0,9,998
SAL80130,320,16,9,0,0,0,0,355
SAL80131,721,39,23,3,0,0,6,788
SAL80132,368,21,5,0,0,0,0,399
SAL80133,446,30,11,0,0,0,0,486
SAL80134,0,0,0,0,0,0,0,0
SAL80135,441,23,3,7,0,0,0,481
SAL80136,349,8,5,0,0,0,0,366
SAL89494,0,0,0,0,0,0,0,0
SAL89797,0,0,0,0,0,0,0,0
