SAL_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SAL80001,0,0,0,0,0,0,0,4
SAL80002,6,0,0,0,0,0,0,4
SAL80003,0,0,0,0,0,0,0,0
SAL80004,0,0,0,0,0,0,0,0
SAL80005,0,0,0,0,0,0,0,0
SAL80006,0,0,0,0,0,0,0,0
SAL80007,0,0,0,0,0,0,0,0
SAL80008,6,0,0,0,0,0,0,6
SAL80009,5,0,0,0,0,0,0,5
SAL80010,9,0,0,0,0,0,0,9
SAL80011,0,0,0,0,0,0,0,0
SAL80012,5,0,0,0,0,0,0,6
SAL80013,0,0,0,0,0,0,0,0
SAL80014,8,4,0,0,0,0,0,9
SAL80015,3,0,0,0,0,0,0,3
SAL80016,0,0,0,0,0,0,0,0
SAL80017,0,0,0,0,0,0,0,0
SAL80018,565,26,8,5,0,0,5,604
SAL80019,880,60,29,8,0,3,4,979
SAL80020,325,18,5,0,0,0,0,357
SAL80021,619,52,53,4,3,0,0,730
SAL80022,90,3,0,0,0,0,0,103
SAL80023,0,0,0,0,0,0,0,0
SAL80024,400,24,7,0,0,0,4,431
SAL80025,1066,71,47,13,0,0,6,1197
SAL80026,420,30,22,0,0,0,6,479
SAL80027,216,7,3,3,0,0,0,233
SAL80028,469,42,9,4,0,0,0,525
SAL80029,677,59,38,7,0,0,0,786
SAL80030,484,32,5,0,0,0,0,532
SAL80031,10,0,0,0,0,0,0,12
SAL80032,0,0,0,0,0,0,0,0
SAL80033,932,65,33,3,0,0,8,1045
SAL80034,374,19,4,0,0,0,0,401
SAL80035,294,23,25,4,0,0,0,347
SAL80036,271,25,3,0,0,0,0,302
SAL80037,601,54,32,5,5,0,0,697
SAL80038,92,9,0,0,0,0,0,102
SAL80039,618,50,43,15,0,0,5,727
SAL80040,306,20,3,3,0,0,0,331
SAL80041,619,42,11,6,0,0,0,680
SAL80042,701,31,21,5,0,0,4,760
SAL80043,681,37,13,9,3,0,0,741
SAL80044,359,19,8,0,0,0,0,387
SAL80045,395,21,12,4,0,0,0,431
SAL80046,229,15,4,0,0,0,0,254
SAL80047,430,26,13,3,0,0,0,474
SAL80048,415,33,5,5,0,0,0,462
SAL80049,949,85,46,10,0,0,5,1093
SAL80050,655,53,22,5,0,0,3,739
SAL80051,415,21,16,3,0,0,4,454
SAL80052,454,30,12,4,0,0,0,505
SAL80053,370,31,21,5,0,0,0,422
SAL80054,519,40,13,0,0,0,5,569
SAL80055,458,34,21,0,0,0,0,520
SAL80056,699,52,19,3,0,0,0,776
SAL80057,172,13,3,0,0,0,0,189
SAL80058,910,54,19,5,0,0,4,1002
SAL80059,256,14,10,6,0,0,5,299
SAL80060,0,0,0,0,0,0,0,5
SAL80061,459,22,6,5,0,0,0,495
SAL80062,316,28,19,4,0,0,0,374
SAL80063,406,18,12,0,0,0,0,442
SAL80064,907,94,32,12,0,0,0,1050
SAL80065,383,31,15,5,0,0,0,437
SAL80066,234,33,6,0,0,0,5,274
SAL80067,479,27,3,3,0,0,0,514
SAL80068,851,67,26,13,0,0,0,961
SAL80069,414,21,10,0,0,0,0,444
SAL80070,35,5,0,0,0,0,0,43
SAL80071,1072,49,36,8,0,0,0,1161
SAL80072,328,30,4,4,0,0,3,363
SAL80073,366,33,15,3,0,0,5,425
SAL80074,311,19,12,0,0,0,3,343
SAL80075,534,65,26,4,0,0,3,636
SAL80076,394,19,6,0,0,0,0,417
SAL80077,0,0,0,0,0,0,0,0
SAL80078,260,17,8,0,0,0,0,292
SAL80079,503,40,26,6,3,0,0,581
SAL80080,101,3,3,0,0,0,0,110
SAL80081,881,48,27,8,0,0,8,965
SAL80082,1599,162,85,16,4,0,9,1878
SAL80083,313,42,3,0,0,0,0,353
SAL80084,404,33,24,0,0,0,3,467
SAL80085,203,6,0,0,0,0,0,213
SAL80086,387,24,7,3,0,0,0,429
SAL80087,326,11,3,6,0,0,0,349
SAL80088,202,15,4,0,0,0,0,222
SAL80089,875,64,36,8,0,0,4,985
SAL80090,0,0,0,0,0,0,0,0
SAL80091,285,14,0,0,0,0,0,300
SAL80092,338,19,10,8,0,0,4,377
SAL80093,315,21,6,3,0,0,0,353
SAL80094,400,28,15,9,0,0,0,445
SAL80095,0,0,0,0,0,0,0,0
SAL80096,0,0,0,0,0,0,0,0
SAL80097,590,54,25,7,0,0,6,690
SAL80098,820,45,23,3,0,0,3,903
SAL80099,687,33,13,0,0,0,0,733
SAL80100,1294,96,55,10,6,0,0,1462
SAL80101,929,56,27,6,0,0,0,1021
SAL80102,580,33,14,5,0,0,0,625
SAL80103,123,5,4,0,0,0,0,130
SAL80104,23,0,0,0,0,0,0,27
SAL80105,185,19,10,5,0,0,3,220
SAL80106,252,25,5,0,0,0,0,288
SAL80107,642,35,30,13,0,0,4,717
SAL80108,0,0,0,0,0,0,0,0
SAL80109,314,16,11,4,0,0,0,340
SAL80110,358,21,6,0,0,0,0,387
SAL80111,19,0,0,0,0,0,0,15
SAL80112,399,30,11,0,0,0,0,443
SAL80113,90,10,3,0,0,0,0,104
SAL80114,316,24,21,6,0,0,6,371
SAL80115,365,22,10,0,0,0,0,410
SAL80116,0,0,0,0,0,0,0,0
SAL80117,333,23,16,5,0,0,0,375
SAL80118,293,29,13,0,0,0,4,330
SAL80119,228,19,12,5,0,0,0,263
