SAL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SAL80051,0,0,0,0,0,4,15,13,4,43,0,0,0,0,0,0,0,0,0,6,4,4,4,0,4,8,11,5,5,52,64,145,235,419,402,465,422,122,28,2307
SAL80052,0,0,5,4,4,0,5,20,16,48,0,0,0,0,0,0,4,0,0,15,10,5,25,9,21,8,19,27,37,161,95,192,372,455,512,431,334,369,191,2950
SAL80053,0,3,0,0,4,0,9,17,10,52,0,0,0,4,0,0,0,4,0,11,3,12,16,18,13,17,12,12,5,107,57,128,381,478,466,294,286,248,82,2409
SAL80054,0,0,0,5,4,25,35,31,10,115,0,0,4,8,5,9,3,8,0,38,0,7,33,23,21,17,16,9,5,130,78,304,695,681,557,670,515,231,69,3802
SAL80055,0,0,0,3,0,5,6,23,9,47,0,0,3,3,0,0,0,0,0,6,7,4,19,13,15,8,13,7,3,99,89,208,479,525,487,406,359,177,30,2753
SAL80056,4,0,0,0,3,4,12,9,0,33,0,0,0,0,0,0,0,0,0,3,16,7,28,18,20,5,12,0,0,111,111,222,468,901,759,313,184,59,11,3038
SAL80057,0,0,0,0,0,0,9,4,0,16,0,0,0,0,0,0,0,0,0,0,0,3,10,4,5,13,10,7,5,49,30,95,277,187,282,270,239,149,36,1557
SAL80058,0,0,5,16,16,15,13,15,3,75,0,0,21,5,9,5,6,3,0,50,9,29,98,47,27,7,13,5,0,248,140,622,1935,1479,864,412,222,58,14,5747
SAL80059,0,0,3,0,0,0,17,5,0,25,0,3,4,0,5,7,0,4,0,11,0,0,7,15,7,0,10,4,0,40,32,116,198,310,289,243,303,99,16,1601
SAL80060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,3,4,16,13,11,9,3,0,0,53
SAL80061,0,0,0,0,0,0,10,20,12,50,0,0,0,0,0,0,0,0,0,6,3,13,21,27,22,19,29,33,5,173,55,167,350,583,485,390,342,301,140,2809
SAL80062,0,0,3,6,0,12,18,12,7,57,0,0,0,0,0,3,0,0,0,7,5,6,10,15,5,9,6,5,0,57,71,140,366,399,342,403,247,65,27,2064
SAL80063,0,0,0,8,3,13,28,19,5,70,0,0,6,0,0,0,3,3,3,25,5,12,19,13,11,11,15,13,0,88,60,145,476,550,380,347,422,145,27,2558
SAL80064,4,0,6,3,14,24,40,37,18,129,0,0,0,0,3,3,4,4,4,27,13,12,21,26,26,26,32,32,36,227,195,510,1094,996,1120,1115,601,335,138,6108
SAL80065,0,0,0,0,3,4,13,14,5,49,0,0,3,3,3,0,6,5,3,21,0,4,21,12,8,12,8,3,0,66,63,161,425,455,352,383,378,135,32,2387
SAL80066,0,0,4,3,4,3,11,9,11,50,0,0,0,0,0,0,3,0,3,8,4,12,44,17,7,16,26,35,24,183,39,342,1047,591,405,412,394,276,105,3599
SAL80067,0,0,0,0,0,0,10,13,13,47,0,0,0,0,3,4,6,3,0,21,7,17,39,24,33,24,17,13,25,195,94,318,1095,708,720,638,448,261,157,4441
SAL80068,0,3,18,17,20,21,17,20,8,121,0,5,19,15,16,6,7,7,0,75,13,41,101,54,50,26,15,18,0,307,177,815,2391,1410,993,624,360,148,33,6945
SAL80069,0,0,0,3,0,3,3,24,19,56,0,0,0,0,0,0,4,3,5,14,4,4,15,17,16,9,18,7,7,93,53,152,329,474,520,376,241,167,87,2404
SAL80070,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,6,10,16,28,55,41,47,26,6,233
SAL80071,0,3,8,4,6,18,9,9,0,60,0,0,17,6,3,7,6,3,3,46,15,28,81,51,39,7,3,3,0,232,176,633,1738,1617,1073,481,228,89,19,6054
SAL80072,0,0,5,0,3,3,8,21,5,41,0,0,0,0,0,0,0,0,0,4,5,10,21,13,8,8,3,12,8,81,77,182,375,353,412,338,336,263,66,2410
SAL80073,3,0,5,0,8,14,12,25,7,77,0,0,4,3,3,0,3,10,3,24,6,4,8,20,15,12,8,8,3,79,79,160,481,489,432,328,275,238,46,2522
SAL80074,0,0,0,4,6,0,17,11,4,42,0,0,0,5,0,0,0,0,0,6,3,4,11,9,11,16,22,6,0,88,51,129,334,417,406,303,284,200,63,2179
SAL80075,0,3,4,6,10,15,22,35,28,118,0,0,0,4,5,0,4,5,4,26,3,12,35,28,19,9,20,17,9,162,111,315,1001,896,675,448,516,312,123,4398
SAL80076,0,0,0,4,4,3,8,12,18,43,0,0,0,0,0,0,0,0,3,8,3,0,7,14,17,4,21,17,34,115,53,164,320,417,426,384,290,214,207,2480
SAL80077,0,5,6,5,3,0,0,0,0,20,0,0,3,0,0,0,0,0,0,3,0,5,30,25,15,6,3,3,0,88,11,37,154,103,56,16,6,10,0,390
SAL80078,0,0,0,0,0,4,12,24,9,45,0,0,0,0,0,4,4,3,0,11,7,7,7,7,12,13,6,15,5,72,43,112,206,271,290,383,342,243,67,1955
SAL80079,0,0,3,3,4,10,13,22,14,73,0,0,7,3,3,3,5,3,4,28,5,8,19,13,21,17,14,8,8,118,80,248,688,601,503,564,325,188,83,3278
SAL80080,0,0,0,3,5,3,3,0,0,13,0,0,0,3,0,4,0,0,0,6,0,0,3,0,6,0,0,0,0,17,13,38,130,167,77,17,15,4,0,465
SAL80081,0,5,6,9,11,25,68,64,36,227,0,0,7,12,7,6,6,14,6,59,6,16,51,25,33,30,49,21,3,236,180,450,1018,1105,900,861,990,415,130,6051
SAL80082,4,5,18,8,18,40,118,86,20,320,0,0,6,7,12,7,3,8,6,52,31,21,80,93,79,38,89,51,22,503,337,836,1854,2129,2097,1798,2020,884,191,12146
SAL80083,0,0,0,0,0,3,3,8,0,20,0,0,0,0,0,0,0,0,0,9,9,54,177,106,73,67,63,21,3,577,64,462,1996,1202,744,685,516,217,42,5941
SAL80084,0,3,4,0,0,12,18,12,4,58,0,0,3,3,6,7,3,0,0,17,10,9,38,24,17,13,8,3,4,128,82,188,520,577,502,389,384,174,32,2853
SAL80085,0,0,3,0,3,4,0,0,0,16,0,0,4,0,0,0,0,0,0,10,7,35,69,32,9,3,3,0,0,161,52,485,1036,434,176,91,52,12,4,2350
SAL80086,0,0,4,4,9,12,26,39,33,120,0,0,3,0,0,6,7,6,0,24,0,19,70,50,19,16,31,54,70,317,72,590,1369,818,611,515,447,284,212,4926
SAL80087,4,0,5,5,0,3,12,19,17,61,0,4,8,5,7,5,3,3,4,34,6,7,26,14,25,11,14,14,11,127,62,212,621,476,408,294,206,239,109,2627
SAL80088,0,0,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,8,15,64,159,198,184,198,178,35,14,1042
SAL80089,0,0,3,10,0,17,17,8,3,69,0,0,8,7,6,6,7,6,0,31,5,15,30,43,14,15,21,13,0,159,143,357,1126,1390,834,563,491,197,32,5133
SAL80090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80091,0,0,0,5,3,7,8,23,12,55,0,0,4,0,3,0,6,0,3,14,5,22,44,20,25,23,10,15,3,170,54,241,539,473,354,310,275,224,60,2515
SAL80092,0,0,0,5,0,8,11,14,3,43,0,0,0,3,0,4,5,0,0,11,3,0,32,23,7,16,14,8,3,112,65,179,571,515,390,396,292,243,75,2730
SAL80093,0,0,7,0,11,13,24,17,14,88,0,0,0,0,3,3,8,4,0,12,4,9,20,11,11,9,14,10,0,83,67,165,325,324,349,414,369,132,45,2190
SAL80094,0,0,3,0,7,13,9,20,5,53,0,0,0,4,0,0,0,5,0,11,3,14,19,8,16,14,12,12,0,99,65,186,383,502,457,346,325,215,35,2511
SAL80095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6
SAL80096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80097,4,0,3,4,4,12,25,50,52,155,0,0,0,3,0,0,5,4,0,20,5,6,10,16,17,20,22,32,26,153,123,267,631,710,636,785,646,406,281,4489
SAL80098,3,0,5,6,5,4,5,0,0,29,0,0,5,3,0,6,3,4,0,30,9,15,50,45,17,9,8,3,0,154,81,281,1144,1225,468,190,107,32,0,3533
SAL80099,0,3,0,10,6,28,29,15,26,116,0,3,0,3,0,0,8,10,3,25,12,19,45,44,44,47,41,42,64,365,132,339,805,931,883,790,595,356,230,5073
SAL80100,5,0,14,12,21,28,41,39,22,177,0,0,6,8,13,8,11,8,3,47,13,30,75,65,34,21,33,29,6,304,247,662,1962,1868,1344,944,687,409,92,8220
SAL80101,0,0,3,7,7,14,33,32,13,107,0,0,3,0,3,4,3,3,0,21,3,5,10,16,18,21,26,8,4,111,184,467,579,724,1147,1026,711,340,61,5244
SAL80102,6,0,0,8,5,4,8,9,7,46,0,0,0,0,9,8,5,0,0,24,3,19,48,24,20,17,13,8,0,162,120,720,930,694,864,672,485,195,89,4765
SAL80103,0,0,0,0,0,0,11,19,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,10,5,6,4,36,24,60,62,70,150,141,150,94,20,768
SAL80104,0,0,0,3,0,0,4,0,0,12,0,0,0,4,0,0,0,0,0,6,3,0,24,16,13,17,0,0,0,74,4,18,76,71,60,56,30,4,3,321
SAL80105,0,4,3,0,0,3,11,4,0,28,0,0,0,0,0,0,0,0,0,4,5,3,12,8,11,10,7,3,9,58,34,97,215,201,216,267,205,42,15,1297
SAL80106,0,0,0,3,4,3,13,21,28,80,0,0,4,5,3,0,5,10,5,32,6,8,37,27,11,21,15,41,61,229,48,175,518,408,324,236,242,304,246,2495
SAL80107,0,0,4,4,8,11,37,20,10,98,0,0,7,8,10,3,10,0,3,40,6,5,45,36,24,18,21,12,0,164,100,355,851,878,748,647,462,170,52,4262
SAL80108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80109,0,0,0,0,3,0,6,19,11,46,0,0,0,0,0,0,0,3,3,9,4,8,5,5,8,14,15,11,0,78,58,163,269,315,393,344,267,223,68,2113
SAL80110,0,0,3,5,3,10,7,0,0,31,0,0,0,5,0,0,4,0,0,16,9,24,90,31,28,20,16,17,0,239,46,463,1875,898,488,378,239,113,42,4545
SAL80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,11,0,14,3,12,27,22,11,5,5,105
SAL80112,0,0,0,0,3,0,3,3,18,35,0,0,0,0,0,0,4,0,4,7,8,4,12,10,12,11,19,5,4,87,71,178,236,360,468,414,312,152,131,2319
SAL80113,0,0,0,0,3,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,3,12,21,20,11,11,9,6,0,100,30,185,306,175,167,230,178,96,18,1390
SAL80114,0,0,8,5,5,24,21,18,0,87,0,0,0,3,8,7,3,0,0,17,7,7,21,15,10,11,8,4,0,85,85,177,471,430,403,388,262,86,24,2323
SAL80115,0,0,5,0,3,10,17,12,9,62,0,0,0,0,0,0,5,0,3,8,12,10,19,32,23,10,17,16,3,134,74,150,420,496,443,336,354,215,66,2553
SAL80116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80117,0,0,4,6,0,4,22,12,4,55,0,0,0,0,0,3,11,0,0,22,3,19,32,20,17,15,9,9,0,130,46,177,508,513,386,263,239,145,31,2326
SAL80118,0,0,5,0,5,5,3,19,0,41,0,0,0,0,0,0,0,0,0,9,9,13,10,7,11,5,20,10,0,89,69,143,305,403,343,251,300,131,26,1963
SAL80119,0,0,0,0,0,0,20,30,19,79,0,0,0,0,0,0,0,9,5,14,8,0,14,12,6,5,7,14,15,93,50,97,205,258,291,236,288,198,134,1747
SAL80120,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0,0,16,11,55,202,154,56,20,16,0,0,522
SAL80121,0,0,0,0,0,4,15,10,0,35,0,0,0,0,0,3,0,0,0,4,6,17,26,36,31,55,33,18,0,208,14,32,58,78,93,145,117,61,7,606
SAL80122,0,0,0,0,8,3,5,5,0,15,0,3,4,5,7,0,5,3,0,23,0,9,26,20,8,4,0,0,0,77,31,117,549,495,152,98,69,18,3,1528
SAL80123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,9,14,8,0,0,65
SAL80124,0,0,3,3,0,8,14,9,6,47,5,0,0,0,4,0,0,0,4,12,9,8,18,16,14,9,5,7,0,75,126,251,559,500,540,569,262,78,22,2913
SAL80125,0,0,3,3,4,9,0,3,0,24,0,0,7,5,7,7,3,0,0,31,0,0,32,15,3,3,0,0,0,56,26,104,514,580,236,91,50,19,3,1622
SAL80126,0,0,0,0,0,4,7,9,9,27,0,0,0,0,3,0,0,0,3,9,4,13,14,9,14,10,8,12,4,90,39,150,255,338,365,269,185,151,43,1801
SAL80127,0,0,4,7,4,0,4,6,4,29,0,0,0,0,5,0,0,0,0,8,3,14,40,34,20,11,15,5,3,144,67,731,1416,649,418,338,272,131,43,4056
SAL80128,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,4,0,0,14,11,13,38,66,45,29,6,3,0,222
SAL80129,0,0,8,5,14,19,44,37,20,143,0,6,0,0,0,4,6,3,3,21,10,15,36,41,33,35,51,18,6,238,150,395,1005,1141,969,954,979,357,92,6045
SAL80130,0,0,0,7,0,12,7,18,9,56,0,0,0,0,0,4,0,4,0,12,6,6,26,20,12,16,20,13,3,115,46,131,356,421,359,266,263,201,50,2100
SAL80131,0,0,3,4,6,4,12,25,11,66,0,0,3,6,7,3,4,5,5,27,4,22,49,47,20,25,18,11,8,202,118,442,1276,1244,858,603,364,210,74,5186
SAL80132,0,0,0,0,0,0,6,19,9,37,0,0,0,0,0,0,0,0,0,8,0,7,12,7,10,10,15,5,3,68,61,162,284,357,404,291,276,219,77,2128
SAL80133,0,0,0,4,0,0,8,26,12,51,0,0,0,0,0,0,0,6,0,6,4,0,17,13,10,8,43,77,76,256,69,188,420,568,541,372,402,367,175,3099
SAL80134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4
SAL80135,0,0,0,0,3,6,4,4,0,19,3,0,4,3,0,0,0,0,0,6,0,10,58,24,11,5,10,3,0,126,65,282,1017,810,385,237,132,37,9,2955
SAL80136,0,0,0,0,4,0,11,14,0,24,0,0,0,0,0,0,0,0,0,0,4,6,5,4,11,11,31,25,10,106,56,145,209,344,416,463,529,268,84,2517
SAL89494,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,17,35,25,22,18,5,0,130,34,81,108,104,77,78,34,10,4,530
SAL89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
