SAL_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SAL80111,0,0,0,0,4,7,0,0,0,11,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,11,5,4,7,11,0,0,5,0,43,4,0,0,0,6,0,0,0,0,10,10,10,4,8,22,12,5,5,5,81,0,0,0,0,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80112,3,0,0,0,12,17,33,16,14,95,18,38,9,12,9,9,7,10,4,116,0,0,0,3,3,11,15,17,4,53,0,0,0,0,0,0,7,0,7,14,0,0,0,0,6,11,3,9,0,29,0,0,0,0,3,4,28,20,11,66,0,0,0,0,0,4,3,0,7,14,0,0,0,0,0,0,6,3,7,16,4,19,13,8,15,13,3,0,3,78,0,0,0,0,0,0,0,0,0,0,12,7,3,12,21,31,17,20,10,133,254,198,90,123,165,118,57,21,10,1036,12,25,8,11,7,12,9,0,0,84,304,281,116,169,230,205,147,78,41,1571,5,0,0,7,14,36,42,38,47,189,9,17,6,18,23,19,13,6,4,115,0,0,0,0,6,15,15,5,10,51,0,0,0,0,0,0,0,5,23,28,0,0,0,5,5,5,10,6,6,37,0,0,0,4,0,4,10,11,26,55
SAL80113,0,0,0,5,0,16,11,8,6,46,0,17,12,10,4,11,8,0,0,62,0,0,0,0,7,3,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,13,3,9,0,34,0,0,3,0,0,8,15,11,0,37,0,0,0,0,0,3,0,0,0,3,0,0,3,0,4,4,0,0,0,11,0,12,21,13,16,16,8,3,0,89,0,0,0,0,0,0,0,0,0,0,0,8,8,11,10,15,9,3,0,64,51,78,123,51,45,54,42,16,0,460,6,13,12,13,8,11,3,6,0,72,59,118,177,99,97,124,82,44,9,809,0,0,0,0,6,17,26,19,7,75,3,16,16,7,8,14,12,3,0,79,0,0,0,3,3,0,7,10,0,23,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,4,8,0,25,0,0,0,0,0,3,9,3,4,19
SAL80114,0,6,6,14,7,21,38,17,0,109,30,22,13,30,16,10,6,5,0,132,0,0,0,0,3,9,7,7,3,29,0,0,0,0,0,3,0,3,0,6,3,0,3,12,18,15,32,6,0,89,0,0,4,4,3,19,23,11,0,64,0,0,0,0,0,0,6,6,0,12,0,0,0,3,0,8,11,0,0,22,9,18,14,41,19,14,17,3,0,135,0,0,0,0,3,4,11,0,0,18,23,15,12,29,23,27,17,3,0,149,237,162,172,112,110,83,38,12,0,926,20,21,8,15,10,13,8,3,0,98,306,227,229,225,198,168,131,45,11,1540,0,0,11,14,35,72,42,21,10,205,16,11,32,24,30,31,18,9,0,171,0,0,0,3,6,9,13,3,5,39,0,0,0,0,0,0,0,6,0,6,0,0,0,11,13,21,18,6,0,69,0,5,0,0,4,12,4,3,7,35
SAL80115,0,0,0,8,20,26,31,31,9,125,32,18,22,23,20,12,16,5,3,151,0,0,0,4,4,5,14,18,4,49,0,0,0,0,0,0,0,6,0,6,0,0,4,9,7,16,35,27,6,104,0,0,4,0,6,9,22,28,12,81,0,0,0,4,0,3,9,9,0,25,0,0,0,0,0,4,6,11,5,26,8,16,23,26,27,18,14,6,0,138,0,0,0,0,0,0,0,3,0,3,16,8,5,27,26,20,24,18,0,144,284,108,144,146,121,79,40,20,8,950,21,21,16,15,11,4,5,9,0,102,356,167,219,234,214,157,143,101,26,1617,0,0,6,10,20,43,73,54,21,227,21,17,28,31,23,26,22,12,0,180,0,0,0,6,11,14,22,15,3,71,0,0,0,0,0,4,0,0,0,4,5,0,0,0,9,8,25,16,6,69,0,0,0,0,5,4,22,15,10,56
SAL80116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80117,0,3,6,10,11,16,24,15,0,85,29,16,26,28,11,14,14,3,0,141,0,0,0,0,0,7,5,10,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,12,24,13,5,70,0,0,0,0,0,12,17,14,5,48,0,0,0,0,0,0,3,5,3,11,0,0,0,0,6,7,7,5,0,25,7,13,32,34,26,12,13,0,0,137,0,0,0,0,5,0,5,0,0,10,17,8,3,18,22,17,17,10,3,115,285,114,181,166,107,66,30,24,9,982,17,13,21,10,13,10,4,4,0,92,352,166,262,248,186,140,102,76,19,1551,0,0,7,12,23,34,53,30,13,172,14,19,34,40,23,17,23,6,0,176,0,0,0,5,4,3,12,9,0,33,0,0,0,0,0,0,0,8,0,8,0,0,0,6,11,12,16,6,0,51,0,0,0,3,3,9,15,10,3,43
SAL80118,0,0,5,7,10,21,36,18,3,100,26,17,17,17,15,10,11,5,0,118,0,0,0,3,0,8,25,12,3,51,0,0,0,0,0,0,0,6,0,6,0,0,0,5,13,13,19,12,0,62,5,0,0,5,3,12,24,12,5,66,0,0,0,0,0,4,7,0,0,11,0,0,0,0,0,5,6,0,0,11,20,22,23,22,29,15,4,5,0,140,0,0,0,0,0,3,0,3,0,6,15,17,13,13,19,16,25,9,5,132,201,103,90,126,88,58,41,19,4,730,17,15,10,13,10,9,10,0,0,84,279,162,147,202,169,116,130,64,12,1281,0,0,5,12,16,29,64,26,3,155,13,21,31,32,24,21,14,8,0,164,0,0,0,3,6,6,26,9,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,14,22,14,4,72,0,0,0,10,0,7,16,22,0,55
SAL80119,0,0,0,8,8,13,21,17,11,78,22,14,9,11,11,6,7,7,0,87,0,0,0,5,0,0,12,11,8,36,0,0,0,0,0,0,0,9,10,19,0,4,3,0,0,9,22,7,7,52,0,0,0,0,9,9,19,25,14,76,0,0,0,0,0,0,6,4,6,16,0,0,0,4,0,0,9,5,4,22,14,16,9,15,16,11,16,4,0,101,0,0,0,0,0,0,4,3,0,7,9,6,11,8,12,22,28,13,8,117,171,86,56,82,88,47,44,20,6,600,16,3,9,9,6,4,0,3,0,50,220,118,95,125,140,98,133,75,48,1052,0,0,0,3,18,40,50,50,40,201,11,10,18,9,21,15,17,11,5,117,0,0,0,0,6,11,23,8,3,51,0,0,0,0,0,0,3,21,34,58,0,0,6,3,9,7,11,24,10,70,0,0,0,0,5,11,11,16,24,67
SAL80120,0,0,0,0,0,3,0,0,0,3,4,4,8,5,0,0,0,0,0,21,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,5,0,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,5,5,3,0,0,0,17,79,24,70,63,22,11,0,0,0,269,3,0,3,0,5,0,0,0,0,11,86,32,89,76,29,16,4,0,0,332,0,0,3,5,0,0,0,0,0,8,0,7,14,8,3,0,0,0,0,32,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0
