SAL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL80001,5,5,8,6,13,3,0,0,0,40
SAL80002,23,7,11,0,13,13,0,0,0,64
SAL80003,0,0,0,0,0,0,0,0,0,0
SAL80004,5,0,0,0,6,4,0,3,0,15
SAL80005,0,0,0,0,0,0,0,0,0,0
SAL80006,6,7,0,0,0,4,0,0,0,19
SAL80007,0,0,0,0,0,0,0,0,0,0
SAL80008,5,15,17,15,11,0,0,0,0,61
SAL80009,8,3,3,0,7,6,0,0,0,25
SAL80010,4,74,46,8,12,5,0,3,4,161
SAL80011,0,0,0,5,0,4,5,0,0,11
SAL80012,9,9,20,5,10,16,12,0,0,76
SAL80013,0,0,0,0,0,0,0,0,0,0
SAL80014,23,9,7,18,6,8,3,0,3,75
SAL80015,4,6,6,5,14,12,13,0,0,49
SAL80016,0,0,0,0,0,0,0,0,0,0
SAL80017,6,2509,267,51,7,0,0,0,0,2848
SAL80018,891,688,603,694,736,690,515,311,250,5376
SAL80019,1383,886,784,957,1062,562,316,139,34,6129
SAL80020,509,308,270,345,340,339,241,197,62,2605
SAL80021,1077,697,754,772,773,591,271,128,29,5100
SAL80022,137,165,518,292,262,241,233,87,12,1946
SAL80023,0,0,0,5,0,0,0,0,0,3
SAL80024,737,1556,3216,1209,592,410,324,272,184,8502
SAL80025,2132,892,1150,1603,890,345,222,92,13,7339
SAL80026,730,482,514,536,546,502,336,157,43,3839
SAL80027,334,1162,2572,1028,471,391,263,127,46,6383
SAL80028,787,1902,1970,973,574,472,437,265,137,7520
SAL80029,1126,701,810,734,759,835,465,197,101,5730
SAL80030,701,2132,1065,662,674,583,406,227,115,6564
SAL80031,20,19,17,24,16,22,3,4,0,125
SAL80032,0,0,0,0,0,0,0,0,3,3
SAL80033,1673,689,1211,1472,717,423,226,56,13,6471
SAL80034,520,313,152,351,431,390,381,273,62,2867
SAL80035,649,331,495,505,391,293,241,111,30,3055
SAL80036,431,303,503,405,329,269,202,174,54,2680
