SAL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SAL80001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6
SAL80002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,11,0,0,0,0,0,0,0,0,9,0,3,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,10,0,3,0,3,0,0,19
SAL80003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL80005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SAL80007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80008,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,6
SAL80009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8
SAL80010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,0,0,0,0,0,9
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,4,0,0,15,0,0,0,0,0,0,0,0,11,3,0,6,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,11,3,0,4,8,0,0,25
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80018,22,43,16,10,15,10,6,120,19,37,16,13,21,4,3,109,32,37,17,12,20,16,10,144,135,174,90,50,71,38,13,576,0,0,0,0,0,0,0,3,209,295,140,78,125,65,25,948,0,0,0,0,6,3,0,7,3,0,5,0,3,0,0,22,0,0,0,0,4,3,0,13,20,24,15,19,17,10,0,117,0,0,0,0,0,0,0,0,25,32,29,21,29,16,0,157,238,324,172,100,158,81,28,1107
SAL80019,95,121,68,37,53,30,14,417,33,29,31,22,24,15,3,156,26,40,31,13,14,10,3,136,172,247,131,110,152,50,29,887,0,0,0,0,0,0,0,0,334,436,266,174,243,99,49,1600,0,4,3,7,9,4,3,32,0,9,5,8,0,0,0,19,0,6,3,5,0,0,0,16,16,26,17,16,23,11,3,112,4,0,0,0,0,0,0,4,24,44,28,30,36,12,4,181,354,481,297,198,278,117,57,1774
SAL80020,29,27,23,7,19,0,4,109,15,20,9,10,6,0,0,65,8,16,20,11,13,3,7,71,72,74,58,40,46,15,15,320,0,0,0,0,0,0,0,0,127,136,103,69,89,19,23,563,0,3,3,0,0,0,3,9,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,10,8,3,9,3,0,32,0,0,0,0,0,0,0,0,6,16,15,9,14,9,3,68,133,152,119,80,101,26,27,629
SAL80021,53,54,24,23,29,11,4,209,10,15,15,4,7,3,3,58,17,35,13,6,16,0,0,90,189,195,116,84,102,22,9,709,0,0,0,0,0,0,0,0,269,307,170,121,147,41,19,1070,0,0,0,0,4,0,0,11,4,9,12,9,6,0,0,39,3,0,3,4,3,0,0,10,32,48,34,23,31,8,5,185,0,0,0,0,0,0,0,4,39,56,45,35,48,14,7,243,306,366,210,155,195,60,25,1315
SAL80022,10,16,6,6,4,4,0,47,5,5,0,0,4,0,0,16,7,7,4,0,0,0,0,25,11,10,6,5,5,0,6,44,0,0,0,0,0,0,0,0,40,33,18,10,13,14,5,127,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,4,4,4,3,0,24,40,42,25,6,18,12,10,149
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,207,96,38,20,24,8,5,389,14,6,5,0,0,0,0,22,34,15,3,0,0,0,0,59,50,24,8,8,8,0,0,97,0,0,0,0,0,0,0,0,303,147,53,23,29,12,3,568,18,27,17,9,10,6,3,87,3,5,4,0,0,0,0,23,4,5,0,5,0,0,0,14,30,23,8,11,11,0,0,82,4,0,0,0,0,0,0,4,48,57,35,19,29,13,10,206,355,201,83,46,60,18,11,779
SAL80025,299,387,193,87,100,65,35,1174,28,42,32,20,10,7,0,148,35,40,28,11,17,5,4,139,182,243,110,48,73,12,8,673,5,8,3,0,0,0,0,13,549,721,373,170,205,91,49,2148,12,19,24,10,17,9,4,100,3,12,10,3,8,4,0,42,4,7,5,4,3,0,0,23,24,41,34,19,28,11,0,161,0,0,0,0,0,0,0,3,47,87,73,39,55,17,6,330,595,804,443,210,257,105,54,2477
SAL80026,51,53,20,12,24,23,3,193,12,20,13,12,9,0,3,66,32,30,11,6,6,0,4,80,100,96,55,48,52,14,5,374,3,4,0,0,0,0,0,5,204,196,95,70,89,45,21,714,3,10,0,3,0,4,5,26,3,5,3,0,0,0,0,23,0,0,0,0,4,0,0,8,18,27,20,19,16,7,0,116,3,0,0,0,3,0,0,4,28,43,22,30,34,18,5,181,232,238,122,98,118,61,22,892
SAL80027,58,27,17,0,0,5,3,110,12,4,0,5,4,0,0,28,18,7,0,0,5,0,0,36,50,28,20,12,9,16,4,137,0,0,0,0,0,0,0,0,137,65,39,20,19,20,4,311,6,0,0,3,3,7,4,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,4,6,5,3,4,0,0,33,3,0,0,0,0,0,0,3,14,16,8,9,9,12,7,73,155,78,49,33,25,30,11,379
SAL80028,119,102,44,18,36,16,13,340,21,13,5,3,5,3,6,59,28,21,12,3,13,4,5,75,84,95,48,22,26,24,0,298,0,0,0,0,0,0,0,3,244,227,104,51,77,48,19,776,7,23,3,3,6,4,0,47,0,5,0,3,5,6,0,18,6,5,0,0,6,0,0,10,9,21,13,7,14,11,0,76,0,0,0,0,0,0,0,0,22,44,18,15,24,15,3,142,269,274,124,67,100,61,22,916
SAL80029,46,58,32,18,30,12,4,200,25,25,20,4,14,8,5,95,22,18,6,9,13,3,0,75,231,221,119,75,88,30,23,777,0,0,0,0,0,0,0,0,320,321,172,103,147,56,30,1140,0,0,3,5,3,6,5,22,0,0,0,5,3,3,0,20,0,3,0,0,0,0,0,5,35,46,29,21,27,7,4,173,0,0,0,0,0,0,0,0,40,50,34,24,36,15,6,214,360,375,204,129,186,68,29,1359
SAL80030,32,29,11,12,18,7,8,120,23,16,15,9,18,3,5,88,30,25,18,11,10,3,5,103,122,126,83,47,85,23,13,505,0,0,0,0,0,0,0,0,206,191,133,86,122,40,25,813,0,4,0,0,4,0,0,15,0,4,0,0,0,0,0,12,0,8,5,0,3,0,0,16,9,8,7,4,8,9,4,47,0,0,0,0,0,0,0,0,7,24,11,10,19,11,9,89,220,217,141,91,148,53,32,899
SAL80031,0,0,0,0,3,3,0,7,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,7,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,11,10,0,0,3,0,29
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,246,219,81,44,55,24,18,686,40,34,15,11,14,0,3,118,31,33,14,3,8,4,0,100,266,231,104,45,69,20,7,746,3,3,0,0,0,0,0,5,591,517,216,106,150,54,26,1664,10,4,7,0,18,8,4,50,8,16,6,6,6,3,0,37,3,5,0,4,5,0,0,15,21,43,23,19,32,14,0,140,0,0,0,0,0,0,0,0,36,65,39,24,57,20,0,244,627,589,257,134,203,77,34,1909
SAL80034,9,24,18,7,14,6,9,82,8,12,9,10,13,4,0,55,16,26,15,5,13,0,7,85,57,110,77,63,71,22,11,410,0,0,0,0,0,0,0,0,91,169,118,83,109,42,27,634,0,0,0,0,6,0,0,4,0,0,0,0,5,3,0,5,3,4,5,0,0,0,0,12,9,13,10,6,8,3,0,53,0,0,0,0,0,0,0,0,9,18,13,4,15,9,3,75,101,185,127,91,122,47,30,710
SAL80035,39,28,15,9,4,3,6,105,15,7,6,3,5,0,0,34,10,13,5,9,9,0,0,42,114,100,57,32,24,0,0,329,3,5,0,0,0,0,0,5,179,153,80,54,45,10,7,513,8,14,6,6,7,8,0,46,0,0,6,0,0,0,0,15,3,9,5,0,3,0,0,18,21,32,33,13,21,3,0,121,5,0,0,0,0,0,0,4,34,53,48,19,29,10,8,199,211,207,126,71,72,18,7,715
SAL80036,31,32,15,9,9,3,3,115,3,4,8,3,8,3,5,29,17,15,7,9,9,0,0,48,67,72,45,13,37,13,8,244,0,0,0,0,0,0,0,0,125,120,67,38,59,16,16,439,4,0,3,0,0,3,0,18,0,0,0,0,0,0,0,10,0,4,0,0,4,0,0,8,4,7,12,4,8,0,0,44,0,0,0,0,0,0,0,5,11,14,18,12,17,3,6,78,136,132,88,44,75,19,21,516
SAL80037,33,50,33,20,29,15,3,181,19,28,9,3,12,7,0,74,7,25,16,11,12,0,0,73,240,171,122,73,71,17,9,711,0,0,0,3,0,0,0,4,301,276,172,118,124,41,14,1047,4,8,3,0,0,0,0,30,6,4,5,3,5,0,0,33,6,6,0,0,4,3,0,12,34,35,28,20,22,8,5,146,0,0,0,0,0,0,0,0,44,57,40,30,29,15,8,224,343,329,216,148,154,57,23,1273
