SAL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SAL80001,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,10,10,26,5,0,5,10,40
SAL80002,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,16,16,51,0,0,0,16,64
SAL80003,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL80004,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,15,0,0,0,0,15
SAL80005,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL80006,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,9,9,7,0,0,0,9,19
SAL80007,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL80008,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,18,18,33,10,0,10,18,61
SAL80009,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,24,0,0,0,3,25
SAL80010,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,9,0,9,..,19,0,17,0,17,..,0,0,0,38,38,102,19,0,17,38,161
SAL80011,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,8,8,11,0,0,0,8,11
SAL80012,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,5,0,5,..,0,0,0,8,8,68,5,0,5,8,76
SAL80013,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,3,3,70,5,0,5,3,75
SAL80015,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,5,8,43,0,0,0,5,49
SAL80016,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL80017,0,9,0,9,..,6,0,11,0,11,..,0,0,0,0,0,..,18,0,18,0,18,..,48,0,48,0,48,..,557,13,566,0,572,..,3,0,3,494,497,1780,557,13,567,497,2848
SAL80018,0,0,0,0,..,10,0,10,0,10,..,4,0,4,0,4,..,44,21,70,0,70,..,128,16,138,3,142,..,583,96,671,7,680,..,13,0,19,169,182,4514,594,95,690,173,5376
SAL80019,3,45,0,45,..,15,6,17,0,17,..,3,0,3,0,3,..,49,7,62,0,62,..,188,15,204,0,207,..,1317,126,1453,14,1459,..,18,7,26,170,194,4476,1339,138,1479,180,6129
SAL80020,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,14,0,14,0,14,..,68,3,75,3,78,..,356,36,392,0,397,..,9,0,9,78,91,2120,370,36,400,83,2605
SAL80021,0,17,0,17,..,12,6,18,0,18,..,0,0,0,0,0,..,23,4,24,0,24,..,137,25,166,3,165,..,685,71,752,10,761,..,15,6,15,123,139,4199,695,72,767,133,5100
SAL80022,0,4,0,4,..,0,0,0,0,0,..,5,0,10,0,10,..,5,0,5,0,5,..,32,0,32,0,32,..,315,13,330,0,326,..,6,0,8,226,234,1384,322,14,338,230,1946
SAL80023,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,3,0,0,0,0,3
SAL80024,0,43,4,48,..,28,5,36,0,36,..,22,4,21,0,21,..,108,34,141,5,147,..,407,49,451,7,462,..,3534,367,3902,31,3937,..,57,11,59,371,435,4126,3588,376,3965,406,8502
SAL80025,5,118,0,118,..,14,4,21,0,21,..,10,0,13,0,13,..,81,24,110,0,110,..,463,42,508,12,513,..,2944,294,3235,26,3262,..,42,9,53,248,299,3774,2984,304,3287,276,7339
SAL80026,0,28,0,28,..,5,0,8,0,8,..,0,0,0,0,0,..,57,9,61,0,61,..,118,26,149,4,147,..,726,95,819,8,825,..,21,0,21,115,137,2877,743,96,837,123,3839
SAL80027,0,23,0,23,..,18,6,23,0,23,..,6,0,6,0,6,..,53,0,57,0,57,..,130,12,143,4,148,..,1554,130,1682,5,1686,..,16,3,22,297,323,4376,1567,135,1709,307,6383
SAL80028,0,69,0,69,..,22,5,29,0,29,..,10,0,10,0,10,..,117,13,130,4,132,..,279,20,302,5,307,..,2323,190,2511,16,2532,..,29,7,31,236,267,4718,2347,197,2544,256,7520
SAL80029,7,24,0,24,..,12,5,11,0,11,..,3,0,3,0,3,..,33,3,38,0,38,..,99,24,128,3,126,..,688,79,765,6,773,..,9,0,8,178,184,4768,693,80,777,184,5730
SAL80030,0,12,0,12,..,12,4,13,0,18,..,3,0,3,0,3,..,30,4,32,0,32,..,112,14,118,0,123,..,792,50,839,5,848,..,16,0,15,597,615,5099,810,53,856,605,6564
SAL80031,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,33,0,33,0,33,..,0,0,0,31,31,70,33,0,33,31,125
SAL80032,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,4,0,0,0,3,3
SAL80033,0,57,0,62,..,16,3,23,0,23,..,6,0,3,0,3,..,35,7,43,0,43,..,253,31,287,9,294,..,1878,191,2067,28,2094,..,27,5,34,190,227,4152,1911,195,2107,211,6471
SAL80034,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,4,0,4,..,37,0,44,0,44,..,326,28,353,4,352,..,4,0,4,62,63,2451,329,24,355,63,2867
SAL80035,0,7,0,7,..,10,4,15,0,15,..,6,0,6,0,6,..,22,16,38,0,38,..,99,36,135,3,138,..,440,96,537,7,544,..,9,3,15,117,134,2374,449,100,548,125,3055
SAL80036,0,36,0,36,..,4,3,7,0,7,..,0,0,0,0,0,..,17,4,17,0,17,..,107,11,116,0,117,..,629,46,673,10,690,..,13,0,14,71,88,1910,637,54,689,82,2680
SAL80037,0,3,0,3,..,13,3,22,0,22,..,0,0,0,0,4,..,28,8,31,0,31,..,79,15,97,4,97,..,648,70,720,12,733,..,14,0,19,156,175,4362,660,76,735,164,5268
SAL80038,0,23,0,23,..,20,13,27,0,27,..,0,0,0,0,0,..,32,0,32,0,38,..,92,0,99,0,99,..,1727,105,1829,4,1834,..,14,4,15,529,545,2457,1739,105,1838,536,4835
SAL80039,0,3,0,3,..,16,3,13,0,13,..,0,0,0,0,0,..,39,13,50,0,50,..,79,17,93,0,97,..,687,66,751,4,760,..,8,0,8,120,128,4221,698,65,762,126,5108
SAL80040,0,3,0,3,..,12,3,15,0,15,..,5,0,5,0,5,..,7,4,16,0,16,..,59,5,60,0,65,..,402,44,449,3,448,..,7,0,7,97,108,2406,416,44,456,102,2965
SAL80041,5,54,0,57,..,14,0,16,0,16,..,7,0,6,0,6,..,41,0,41,0,41,..,268,30,294,13,305,..,2038,178,2217,31,2251,..,24,0,32,140,167,2431,2064,184,2242,174,4851
SAL80042,0,49,6,52,..,8,5,8,0,8,..,7,0,7,0,13,..,45,9,54,0,56,..,238,17,258,3,258,..,1673,171,1849,16,1864,..,25,5,29,103,131,2804,1700,182,1875,120,4800
SAL80043,0,16,0,19,..,3,0,3,0,3,..,0,0,0,0,0,..,15,0,15,0,15,..,150,9,160,0,160,..,808,73,876,7,886,..,16,3,19,119,141,4542,818,71,892,128,5569
SAL80044,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,17,..,61,4,70,0,66,..,499,37,539,5,541,..,8,0,6,127,128,2449,507,35,546,129,3124
SAL80045,0,22,0,22,..,9,0,11,0,11,..,0,0,0,0,8,..,19,3,19,0,19,..,192,10,202,3,207,..,1115,100,1211,15,1230,..,26,3,24,67,92,1436,1133,101,1236,81,2759
SAL80046,0,14,0,14,..,13,0,8,0,8,..,3,0,3,0,3,..,56,11,65,4,67,..,94,14,108,0,109,..,714,115,827,8,837,..,19,0,19,105,121,2329,732,115,847,114,3292
SAL80047,3,17,0,17,..,16,0,18,0,18,..,0,0,0,0,0,..,59,17,77,0,78,..,216,30,242,5,253,..,856,140,990,15,1006,..,34,3,40,139,180,3114,888,143,1028,156,4296
SAL80048,0,0,0,0,..,3,0,4,0,4,..,3,0,8,0,8,..,11,0,10,0,10,..,77,6,89,0,89,..,450,31,490,9,496,..,11,0,11,89,99,2794,464,31,499,103,3395
SAL80049,0,5,0,5,..,17,8,29,0,29,..,0,0,0,0,0,..,64,17,84,0,84,..,263,55,317,4,323,..,1235,187,1427,15,1437,..,24,11,37,182,215,5610,1264,194,1461,197,7265
SAL80050,0,15,0,15,..,8,0,8,0,8,..,0,0,0,0,0,..,47,11,58,0,58,..,127,14,142,4,142,..,815,82,892,10,906,..,11,4,16,105,125,4501,824,82,908,116,5531
SAL80051,0,6,0,6,..,0,0,5,0,5,..,0,0,0,0,0,..,15,4,22,0,22,..,36,3,36,4,41,..,414,34,450,5,452,..,7,0,7,40,46,2501,424,35,455,43,3006
SAL80052,0,3,0,3,..,6,0,6,0,6,..,5,0,8,0,8,..,14,4,16,0,16,..,102,10,115,0,117,..,615,57,669,5,672,..,6,0,6,148,157,2963,622,57,677,150,3787
SAL80053,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,10,0,10,..,61,16,78,0,73,..,459,52,514,3,517,..,12,4,9,126,132,2573,469,56,526,126,3219
SAL80054,0,11,0,11,..,14,6,14,0,17,..,0,0,0,0,0,..,172,50,222,0,222,..,164,21,189,0,192,..,1194,205,1396,6,1401,..,16,3,16,123,144,3237,1208,208,1413,134,4781
SAL80055,0,3,0,3,..,6,0,6,0,6,..,9,0,9,0,9,..,18,3,23,0,23,..,96,7,100,0,104,..,441,49,489,0,493,..,15,0,15,94,109,3065,454,49,507,97,3671
SAL80056,0,58,0,58,..,4,0,9,0,9,..,0,0,0,0,0,..,53,4,61,0,61,..,146,4,157,8,159,..,1237,122,1358,14,1370,..,11,0,14,119,130,2932,1251,124,1370,136,4435
SAL80057,0,8,0,8,..,5,0,5,0,5,..,0,0,0,0,0,..,11,0,11,0,11,..,20,3,22,0,24,..,337,12,349,7,355,..,9,0,9,47,49,1421,343,12,356,51,1827
SAL80058,0,77,8,80,..,35,3,42,0,42,..,11,0,14,0,14,..,168,44,211,0,214,..,412,52,469,5,475,..,3457,477,3927,41,3969,..,41,4,44,255,300,3217,3494,479,3968,295,7484
SAL80059,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,55,11,63,0,63,..,164,18,181,0,181,..,9,0,9,36,47,1906,175,18,190,36,2126
SAL80060,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,8,11,0,11,..,0,0,0,6,7,38,3,8,12,6,52
SAL80061,3,60,0,61,..,3,0,9,0,9,..,0,0,0,0,0,..,19,0,19,0,20,..,161,8,168,0,168,..,975,74,1049,11,1064,..,16,0,16,154,171,2474,990,74,1063,166,3706
SAL80062,0,3,0,3,..,11,3,12,0,12,..,0,0,0,0,0,..,19,8,26,0,26,..,83,17,96,0,95,..,347,52,402,0,403,..,0,0,0,63,62,2244,352,52,402,63,2706
SAL80063,0,5,0,5,..,15,4,19,0,19,..,0,0,0,0,0,..,16,0,21,0,21,..,79,12,89,0,93,..,576,61,640,0,637,..,6,0,6,87,98,2637,587,61,642,89,3372
SAL80064,0,41,0,41,..,18,0,20,0,20,..,0,0,0,0,0,..,55,15,66,0,70,..,138,26,165,0,167,..,1085,129,1213,15,1223,..,18,0,23,216,240,6429,1103,131,1237,231,7892
SAL80065,0,4,0,4,..,10,4,13,0,13,..,0,0,0,0,0,..,10,6,18,0,18,..,64,7,72,5,74,..,433,34,464,3,471,..,8,0,8,72,86,2582,441,34,476,77,3140
SAL80066,0,41,5,42,..,15,6,19,0,23,..,5,5,9,0,11,..,18,4,25,0,25,..,132,6,140,0,142,..,899,70,970,19,987,..,23,4,28,176,205,2933,926,76,998,198,4129
SAL80067,0,7,0,7,..,6,0,8,0,8,..,13,0,13,0,13,..,34,5,36,0,36,..,96,18,114,0,115,..,963,77,1039,3,1048,..,13,4,20,183,199,4080,980,78,1064,190,5328
SAL80068,0,68,3,71,..,27,3,29,0,33,..,21,4,21,0,21,..,170,38,211,0,211,..,368,61,425,3,430,..,3403,626,4027,33,4054,..,67,11,77,296,373,4160,3465,638,4103,321,8586
SAL80069,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,21,0,21,..,85,16,102,0,102,..,387,41,423,0,429,..,15,3,15,91,109,2694,401,45,445,91,3227
SAL80070,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,16,0,16,..,0,0,0,5,6,278,12,0,16,5,298
SAL80071,3,102,0,102,..,29,5,34,0,34,..,12,0,12,3,16,..,141,40,184,0,184,..,384,41,426,10,433,..,3033,449,3481,26,3507,..,40,9,55,242,294,4444,3074,460,3535,271,8244
SAL80072,0,10,0,10,..,8,0,8,0,8,..,0,0,0,0,0,..,34,14,49,3,49,..,93,3,92,0,92,..,483,55,540,7,546,..,12,0,18,99,114,2358,497,58,552,102,3008
SAL80073,0,10,0,10,..,0,0,3,0,3,..,0,0,0,0,0,..,42,19,62,0,62,..,88,14,98,0,102,..,475,88,562,3,566,..,12,0,11,83,99,2659,481,87,571,91,3321
